source,target,date,type,FATALITIES,LATITUDE,LOCATION,LONGITUDE,NOTES,记录数,YEAR
Unidentified Armed Group,Patriots Militia,2002/7/14,Remote violence,1,36.8,Jijel,5.7667,A bomb blast also killed a patriot Sunday ( civil armed ) during a sweep by security forces in Jijel.,1,2002
Unidentified Armed Group,Civilians,2002/4/15,Remote violence,0,36.7525,Algiers,3.042,Two people were slightly injured during a bomb explosion Monday at a marketplace in an outlying Algiers neighborhood,1,2002
Islamist Militia,Civilians,2002/1/15,Remote violence,1,36.2675,Medea,2.75,"In Deregh, near Medea, some 90 kilometres (55 miles) south of Algiers, one person was killed Tuesday when a bomb believed to be planted by extremists exploded.",1,2002
Unidentified Armed Group,Civilians,2002/1/3,Remote violence,1,36.8792,Skikda,6.9067,"A shepherd was killed Thursday when a homemade bomb went off in a town near Skikda, in the far northeast",1,2002
Islamist Militia,Civilians,2007/2/9,Remote violence,0,36.7723,Chekfa,5.9573,"two people were seriously wounded in the explosion of two home-made bombs in Laadjarda, between the municipalities of Chekfa and Bordj Thar",1,2007
Islamist Militia,Civilians,2007/7/5,Remote violence,1,35.1968,Elma Labiod,8.1759,"one civilian killed, another wounded in a bomb attack",1,2007
Islamist Militia,Civilians,2008/5/11,Remote violence,3,36.5646,Lakhdaria,3.5933,homemade bomb wounds one,1,2008
Unidentified Armed Group,Civilians,2009/10/25,Remote violence,0,36.7441,Tadmait,3.9005,"A home-made bomb exploded on Tuesday on the rail track linking the province of Tizi Ouzou and Algiers, causing significant damage to the track and halting rail service.",1,2009
Islamist Militia,Civilians,2009/11/5,Remote violence,1,36.8558,Sidi Daoud,3.8567,Several homemade bombs exploded near the Cap Djinet aggregates quarry. A car overturned along the roadway near Cap Djinet and civilians noticed bombs surrounding the car as they approached to aid passengers. A member of the security forces was,1,2009
Unidentified Armed Group,Civilians,2009/2/12,Remote violence,7,35.4042,Tebessa,8.1242,Two bombs exploded in eastern Algeria (in Foum El-Metlag) killing 7,1,2009
Unidentified Armed Group,Civilians,2011/3/17,Remote violence,2,36.7853,Zemmouri,3.6036,"An unknown group kills two with a roadside bomb. The group set up an ambush on a road linking Zemouri town and Legata town in Boumerdes district, before opening fire on a vehicle and killed two people on board. An elected official from the Work",1,2011
Unidentified Armed Group,Civilians,2013/10/3,Remote violence,0,36.5344,Kadiria,3.6828,"On Thursday three civilians were wounded in the explosion of another homemade bomb on the road between Ouled Benfodil and Kadiria. The remotely triggered bomb exploded as a passenger minibus went past, injuring three passengers.",1,2013
Those Who Signed in Blood,Civilians (International),2013/1/15,Remote violence,2,28.0437,In Amenas,9.5411,Islamist gunmen killed two people and took 41 Western hostages Wednesday in Algeria in what they said was a revenge attack on the country for opening its airspace to French warplanes hitting Islamists in Mali.,1,2013
Unidentified Armed Group,Civilians,2014/7/12,Remote violence,7,35.1939,Sidi Bel Abbes,-.6414,A roadsideÊbomb killed three Algerian soldiers and four auxiliaries in the Sidi Bel-Abbes region 440 kilometres (275 miles) west of the capital. The victims were aboard a military truck en route to their base when they hit a bomb in the town of,1,2014
Unidentified Armed Group,Civilians,2009/4/5,Strategic development,0,36.7525,Algiers,3.042,Algerian security forces defused a bomb outside the home of the former GIA leader,1,2009
Those Who Signed in Blood,Civilians (International),2013/1/17,Strategic development,0,28.0437,In Amenas,9.5411,"At least 20 foreign hostages escaped Thursday from Islamist militants who had taken over an Algerian natural gas complex in the Sahara desert, an Algerian security official reported.",1,2013
Islamist Militia,Civilians,1999/12/22,Violence against civilians,2,36.4686,Blida,2.8289,"Two men were shot dead on Wednesday night and then burned in their car near Blida, a garrison town 50 kilometres (30 miles) south of the capital, at one of the checkpoints Muslim extremists model on those of the security forces. The group respo",1,1999
Islamist Militia,Civilians,1999/10/7,Violence against civilians,2,36.2675,Medea,2.75,Two travelers were killed Thursday evening at another checkpoint set up at the Shiffa gorges near Medea.,1,1999
Islamist Militia,Civilians,1999/10/7,Violence against civilians,2,36.5422,Boghni,3.9531,A couple was killed Thursday in Afir on the Kabylian coast en route to a party while two other people were killed Wednesday at a checkpoint set up by the Islamists near Boghni.,1,1999
Unidentified Armed Group,Civilians,2002/12/31,Violence against civilians,1,36.9921,Ain Barbar,7.5557,"One person was killed Tuesday at a false roadblock set up by armed group in Aien Barbar, in the region of Annaba.",1,2002
Unidentified Armed Group,Civilians,2002/4/25,Violence against civilians,1,36.6204,Meftah,3.2225,An unidentified man was killed near Meftah just south of the capital.,1,2002
